"","ID","Title","U","N1","AUC","P.Value","adj.P.Val"
"LI.M31","LI.M31","cell cycle and growth arrest",301238,12,0.815064341915863,7.84273421032472e-05,0.000716993228173769
"LI.M63","LI.M63","regulation of localization (GO)",301207,12,0.814980464733703,7.87449210133041e-05,0.000716993228173769
"LI.M163","LI.M163","enriched in neutrophils (II)",340365,14,0.789420583637553,8.82794307387389e-05,0.000783197000912915
"LI.M212","LI.M212","purine nucleotide biosynthesis",70331,12,0.19029568059569,0.000101340386301851,0.00087659434151101
"LI.M47.1","LI.M47.1","enriched in B cells (II)",695311,33,0.684580879297885,0.000120765659403158,0.00101914434520714
"LI.M204.1","LI.M204.1","chaperonin mediated protein folding (II)",51273,10,0.166465374500828,0.000129587657148543,0.00106755546127133
"LI.M47.2","LI.M47.2","enriched in B cells (III)",509032,23,0.718845851856455,0.000139361499989322,0.00108027699965901
"LI.M75","LI.M75","antiviral IFN signature",187116,22,0.276243876945426,0.000139401970675786,0.00108027699965901
"LI.M100","LI.M100","MAPK, RAS signaling",256152,10,0.831635336515048,0.000140498453712877,0.00108027699965901
"LI.M22.0","LI.M22.0","mismatch repair (I)",250236,27,0.301065488565489,0.000172335027942375,0.00129625912321874
"LI.M235","LI.M235","mitochondrial cluster",131183,17,0.250589305021223,0.000184551683081554,0.00135861451800463
"LI.M72.1","LI.M72.1","TBA",371920,16,0.754830329598961,0.000207745014067531,0.00149749530973679
"LI.M216","LI.M216","respiratory electron transport chain (mitochondrion)",65941,11,0.194631050767414,0.000225980618664278,0.00159569987873144
"LI.M18","LI.M18","T cell differentiation via ITK and PKC",66217,11,0.195445690672963,0.000234060681083618,0.00161969991309863
"LI.M5.1","LI.M5.1","T cell activation and signaling",193467,22,0.285620011869646,0.000248888110317887,0.00168853502294096
"LI.M4.0","LI.M4.0","cell cycle and transcription",4242955,314,0.443079500980466,0.000254380503417041,0.00169260873427493
"LI.M231","LI.M231","respiratory electron transport chain (mitochondrion)",67282,11,0.198589138134593,0.000267833886117127,0.00174850046408539
"LI.M227","LI.M227","translation initiation",58500,10,0.189928898412389,0.000341848592378217,0.00219036320301598
"LI.M65","LI.M65","IL2, IL7, TCR network",48204,9,0.173884812674502,0.000351354912609033,0.00221034181386774
"LI.M7.4","LI.M7.4","T cell activation (III)",103585,14,0.240248354431554,0.000381428270153873,0.00235668181202215
"LI.M61.0","LI.M61.0","enriched in NK cells (II)",176062,20,0.285898476827644,0.000457063851339641,0.00277445776427221
"LI.M53","LI.M53","inflammasome receptors and signaling",285445,12,0.77233297617888,0.000542911941537264,0.00323875054779126
"LI.M148","LI.M148","TBA",263566,11,0.777939787485242,0.000704877788856334,0.00413369008380155
"LI.M161","LI.M161","TBA",301379,13,0.752743684654848,0.000799648983263402,0.00460149451174582
"LI.M160","LI.M160","leukocyte differentiation",339429,15,0.734790232497727,0.000818565260453722,0.00460149451174582
"LI.M11.0","LI.M11.0","enriched in monocytes (II)",3163752,182,0.56754228826448,0.000824545259330176,0.00460149451174582
"LI.M232","LI.M232","enriched for TF motif TNCATNTCCYR",99925,13,0.249579143500827,0.000882911810577632,0.00484900772158509
"LI.M245","LI.M245","translation initiation factor 3 complex",100298,13,0.25051077242778,0.000918491047810705,0.00496559222722662
"LI.M4.12","LI.M4.12","C-MYC transcriptional network",89804,12,0.242984079569683,0.00102282265276515,0.00544456365933451
"LI.M222","LI.M222","heme biosynthesis (II)",101739,13,0.254109907236734,0.00106867204304614,0.00560243222566612
"LI.M123","LI.M123","enriched in B cell differentiation",259727,11,0.766608618654073,0.00109753247592052,0.00566785427863432
"LI.M44","LI.M44","T cell signaling and costimulation",69161,10,0.22454141099315,0.00127669667867996,0.00649613310034212
"LI.M10.1","LI.M10.1","E2F1 targets (Q4)",201159,21,0.311107502435856,0.00136105290169672,0.00682498991285603
"LI.M129","LI.M129","inositol phosphate metabolism",294707,13,0.736079265886396,0.00159947745324842,0.00774821731888519
"LI.M111.1","LI.M111.1","viral sensing & immunity; IRF2 targets network (II)",82517,11,0.243556670602125,0.00161102586613133,0.00774821731888519
"LI.M103","LI.M103","cell cycle (III)",570425,49,0.378432043775185,0.00161234580046166,0.00774821731888519
"LI.M8","LI.M8","E2F transcription factor network",118131,14,0.273985406741844,0.00170160859929952,0.00806515856654294
"LI.M237","LI.M237","golgi membrane (II)",367779,17,0.702541365965104,0.00191392524051481,0.0089488936921368
"LI.M192","LI.M192","TBA",272141,12,0.736336136454647,0.00228828048965718,0.0105566006589518
"LI.M136","LI.M136","TBA",346870,16,0.703990095794772,0.00235831349967637,0.0107365325116845
"LI.M96","LI.M96","Hox cluster V",232372,10,0.754430050972371,0.00266299351774466,0.0119661786641513
"LI.M137","LI.M137","TBA",326226,15,0.706208598519288,0.00283876924661276,0.012592489222154
"LI.M4.2","LI.M4.2","PLK1 signaling events",367581,33,0.361908447001695,0.00301210383642558,0.0131922522456108
"LI.M32.6","LI.M32.6","TBA",287846,13,0.718942788492759,0.003128904817156,0.0135325133341997
"LI.M61.2","LI.M61.2","enriched in NK cells (receptor activation)",125328,14,0.290677663408774,0.00333937209278755,0.0142644783222777
"LI.S4","LI.S4","Monocyte surface signature",1610634,90,0.582530950598396,0.00338215896665584,0.0142710610056454
"LI.M14","LI.M14","T cell differentiation",103052,12,0.278829399222918,0.00398343044973628,0.016605625730226
"LI.M127","LI.M127","type I interferon response",104002,12,0.281399828998777,0.00436266816566532,0.0179498984049381
"LI.M229","LI.M229","TBA",246646,11,0.727998819362456,0.00440965712260041,0.0179498984049381
"LI.M181","LI.M181","nucleotide metabolism",71032,9,0.25623155783535,0.00565638534834946,0.0227570852387083
"LI.M194","LI.M194","TBA",120215,13,0.300256759929466,0.00631189467042824,0.0251024776548066
"LI.M145.0","LI.M145.0","cytoskeleton/actin (SRF transcription targets)",334855,16,0.679605049521026,0.00642355017385015,0.0252562313653653
"LI.M89.0","LI.M89.0","putative targets of PAX3",334476,16,0.678835849975645,0.00661857505682004,0.0255487423183084
"LI.M73","LI.M73","enriched in monocytes (III)",242425,11,0.715540141676505,0.00664562661458889,0.0255487423183084
"LI.M4.6","LI.M4.6","cell division in stimulated CD4 T cells",210077,20,0.341133772855705,0.00694117000951705,0.026391701354867
"LI.M138","LI.M138","enriched for ubiquitination",241678,11,0.713335301062574,0.00713207165235971,0.0268227912143094
"LI.M199","LI.M199","platelet activation & blood coagulation",278626,13,0.695914320110697,0.00721459088164798,0.026841381129572
"LI.M118.0","LI.M118.0","enriched in monocytes (IV)",989267,54,0.595628938428951,0.007505074971634,0.0276061589925322
"LI.S8","LI.S8","Naive B cell surface signature",972208,53,0.59638296280029,0.00757972573494382,0.0276061589925322
"LI.M209","LI.M209","lysosome",62253,8,0.252625555952342,0.00768818838291133,0.0276458553733522
"LI.M56","LI.M56","suppression of MAPK signaling",259358,12,0.701748974533805,0.00775042766247157,0.0276458553733522
"LI.M159","LI.M159","G protein mediated calcium signaling",221892,10,0.720405181649946,0.00788990244088167,0.0278087810482461
"LI.S11","LI.S11","Activated (LPS) dendritic cell surface signature",699678,37,0.614486781575883,0.00795684775657908,0.0278087810482461
"LI.M167","LI.M167","enriched in cell cycle",313792,15,0.679291682902541,0.00809041151898262,0.0278769080704215
"LI.M10.0","LI.M10.0","E2F1 targets (Q3)",371635,32,0.377321997140908,0.00813747894541206,0.0278769080704215
"LI.M37.3","LI.M37.3","cell division",86615,10,0.2812084023246,0.00828084970568165,0.0280109591772199
"LI.M67","LI.M67","activated dendritic cells",98797,11,0.291608618654073,0.00833852252963483,0.0280109591772199
"LI.M223","LI.M223","enriched in T cells (II)",111667,12,0.302139138716625,0.00880272807910333,0.0292859991862476
"LI.M132","LI.M132","recruitment of neutrophils",201832,9,0.72806239133101,0.00890149015871829,0.0293325294753955
"LI.M4.10","LI.M4.10","cell cycle (II)",124808,13,0.311728533820878,0.00936252389115852,0.0305606911918948
"LI.M153","LI.M153","TBA",309897,15,0.670859851928822,0.0109610272597024,0.0354440694566076
"LI.M221","LI.M221","TBA",199218,9,0.718632989199836,0.0115519192482536,0.0367515377571937
"LI.M16","LI.M16","TLR and inflammatory signaling",742917,40,0.60358535634201,0.0116669763704946,0.0367515377571937
"LI.M4.11","LI.M4.11","mitotic cell cycle in stimulated CD4 T cells",102557,11,0.302706611570248,0.0117174265262369,0.0367515377571937
"LI.M205","LI.M205","TBA",236173,11,0.697086776859504,0.0117902332111228,0.0367515377571937
"LI.M243","LI.M243","TBA",116509,12,0.315240213426843,0.0133240751678326,0.0411618750720543
"LI.M81","LI.M81","enriched in myeloid cells and monocytes",654362,35,0.607488209736715,0.0138483426407258,0.0424028898556737
"LI.M157","LI.M157","enriched in NK cells (III)",130262,13,0.325350797004801,0.0145970114557159,0.0443032102076992
"LI.M242","LI.M242","TBA",233468,11,0.689102715466352,0.014920866221984,0.0448923453287517
"LI.M106.1","LI.M106.1","nuclear pore complex (mitosis)",105464,11,0.311286894923259,0.0150904052176054,0.0450110362525125
"LI.M76","LI.M76","DNA repair",248770,22,0.36726516849288,0.0155469613048668,0.0458294384422328
"LI.S7","LI.S7","CD4 T cell surface signature Th2-stimulated",118446,12,0.320481184454041,0.015629692879143,0.0458294384422328
"LI.M241","LI.M241","TBA",176519,8,0.7163222738045,0.0170373199755685,0.049319582358034
"LI.M218","LI.M218","TBA",158040,15,0.342122353552409,0.0171050574652141,0.049319582358034
"LI.M196","LI.M196","platelet activation - actin binding",338600,17,0.646802853115007,0.0180349773402721,0.0515710922292078
"LI.M4.9","LI.M4.9","mitotic cell cycle in stimulated CD4 T cells",159313,15,0.344878122699918,0.0187341937426852,0.0531314019259762
"LI.M106.0","LI.M106.0","nuclear pore complex",185816,17,0.354950735246362,0.0191747715656668,0.0539387883066724
"LI.M169","LI.M169","mitosis (TF motif CCAATNNSNNNGCG)",146968,14,0.340868080842754,0.0196006186484737,0.0546920488094508
"LI.M143","LI.M143","nuclear pore, transport; mRNA splicing, processing",109339,11,0.322724321133412,0.0208586707740106,0.0577368007024615
"LI.M118.1","LI.M118.1","enriched in monocytes (surface)",335842,17,0.641534447123007,0.021644435050805,0.0590270887529395
"LI.M28","LI.M28","antigen presentation (lipids and proteins)",109806,11,0.324102715466352,0.0216660123457321,0.0590270887529395
"LI.M48","LI.M48","TBA",246369,12,0.666604435208935,0.0228141767595235,0.0605314226077022
"LI.M188","LI.M188","TBA",97854,10,0.317697477354631,0.0229316197558009,0.0605314226077022
"LI.M27.1","LI.M27.1","chemokine cluster (II)",162207,15,0.351143005585141,0.0229347051417613,0.0605314226077022
"LI.M47.3","LI.M47.3","enriched in B cells (IV)",246264,12,0.666320335075814,0.0229992699158585,0.0605314226077022
"LI.M66","LI.M66","TBA",188654,17,0.360371959396215,0.0230929126711465,0.0605314226077022
"LI.M60","LI.M60","lymphocyte generic cluster",334640,17,0.639238354301258,0.023398830307939,0.0608721450116308
"LI.M42","LI.M42","platelet activation (III)",208920,10,0.678289665919938,0.0254276361653009,0.0656564336805531
"LI.M94","LI.M94","growth factor induced, enriched in nuclear receptor subfamily 4",244692,12,0.662066950225657,0.025925011161518,0.066444843421372
"LI.M4.15","LI.M4.15","enriched in monocytes (I)",207105,10,0.672397000097399,0.0295022636092052,0.0750572294763602
"LI.M45","LI.M45","leukocyte activation and migration",114081,11,0.336720779220779,0.0303583332044994,0.076230560450964
"LI.M17.0","LI.M17.0","Hox cluster I",277962,14,0.644687098465064,0.0304040963648354,0.076230560450964
"LI.M11.1","LI.M11.1","blood coagulation",416729,22,0.615227102949991,0.0306373559407838,0.0762627709029582
"LI.M22.1","LI.M22.1","mismatch repair (II)",140587,13,0.351139184862154,0.0315254105069284,0.0779128002528373
"LI.S6","LI.S6","CD4 T cell surface signature Th1-stimulated",76896,8,0.312047527838198,0.0327916042787048,0.0804673409959706
"LI.M17.2","LI.M17.2","Hox cluster III",241130,12,0.652429191423964,0.0337186725415843,0.0816024763316664
"LI.M86.0","LI.M86.0","chemokines and inflammatory molecules in myeloid cells",363400,19,0.621145615402497,0.0337258789463246,0.0816024763316664
"LI.M93","LI.M93","TBA",103040,10,0.334534593032694,0.0349744554528276,0.0838962533653372
"LI.M186","LI.M186","TBA",204903,10,0.665247881562287,0.0351588345028147,0.0838962533653372
"LI.M215","LI.M215","small GTPase mediated signal transduction",292666,15,0.633558470797073,0.0366149574425164,0.086772433391169
"LI.M162.1","LI.M162.1","cell junction",221869,11,0.654867178276269,0.0376260335604743,0.0885619565437015
"LI.M171","LI.M171","heme biosynthesis (I)",117211,11,0.345959268004723,0.03841093356143,0.0897985338665863
"LI.M25","LI.M25","TLR8-BAFF network",202841,10,0.65855329372423,0.0412345108141297,0.0957526224274421
"LI.M152.1","LI.M152.1","TBA (source: naive B cells)",290597,15,0.629079534138633,0.0416974010873866,0.096182005174905
"LI.M236","LI.M236","TBA",145364,13,0.363070529055333,0.0436473284124703,0.100013083647117
"LI.M105","LI.M105","TBA",199368,17,0.380838131186748,0.0444282211350637,0.101132661267974
"LI.M46","LI.M46","cell division stimulated CD4+ T cells",323666,26,0.404375257680439,0.0456750555864498,0.103291302175893
"LI.M156.1","LI.M156.1","plasma cells, immunoglobulins",133292,12,0.360650237561826,0.0472791100649329,0.106224494041992
"LI.M156.0","LI.M156.0","plasma cells & B cells, immunoglobulins",458145,25,0.595264081075814,0.0495415873121059,0.110589607806378
"LI.M51","LI.M51","cell adhesion",673965,38,0.57634683172364,0.0516267775450328,0.114238031565784
"LI.M35.1","LI.M35.1","signaling in T cells (II)",121403,11,0.358332349468713,0.0518363322422777,0.114238031565784
"LI.M97","LI.M97","enriched for SMAD2/3 signaling",199595,10,0.648014674848219,0.052496778980358,0.114961300805088
"LI.M228","LI.M228","olfactory receptors",199468,10,0.647602350573033,0.0529827240874247,0.115295739209113
"LI.M4.13","LI.M4.13","cell junction (GO)",216630,11,0.639403778040142,0.054655398850946,0.118192300015171
"LI.M180","LI.M180","TBA",215519,11,0.636124557260921,0.058952176355397,0.126223527070715
"LI.M184.0","LI.M184.0","TBA",319031,17,0.609421621477064,0.0590988768365773,0.126223527070715
"LI.M41.2","LI.M41.2","TBA",249568,13,0.623337179736946,0.0617661286351137,0.131085376476842
"LI.M150","LI.M150","innate antiviral response",137442,12,0.371878957108997,0.062132953012145,0.131085376476842
"LI.M32.8","LI.M32.8","cytoskeletal remodeling",196825,10,0.639021460342197,0.0639276336257147,0.134054310512105
"LI.M79","LI.M79","TBA",196655,10,0.638469530210058,0.0646877510142324,0.134831095487496
"LI.M249","LI.M249","TBA",196421,10,0.637709814616409,0.0657454875411578,0.13621520173198
"LI.M162.0","LI.M162.0","plasma membrane, cell junction",316649,17,0.604871460826976,0.0671429340631429,0.13828247134433
"LI.M211","LI.M211","TBA",213422,11,0.629935064935065,0.0677797939651448,0.13876809888722
"LI.M92","LI.M92","lipid metabolism, endoplasmic reticulum",195525,10,0.634800818155255,0.069919936638033,0.141929291558236
"LI.M30","LI.M30","cell movement, Adhesion & Platelet activation",366552,20,0.595225877691533,0.0701442452498797,0.141929291558236
"LI.M61.1","LI.M61.1","enriched in NK cells (KIR cluster)",86196,8,0.349787358374184,0.0705722370464138,0.141965081500344
"LI.M34","LI.M34","cytoskeletal remodeling (enriched for SRF targets)",195191,10,0.633716437777994,0.0715272014805084,0.142526082593722
"LI.M2.1","LI.M2.1","extracellular matrix (II)",604981,45,0.436976604765723,0.0716749663910625,0.142526082593722
"LI.M246","LI.M246","TBA",212113,11,0.626071428571429,0.0737873561200593,0.145888144100232
"LI.M135.0","LI.M135.0","enriched in plasma membrane proteins (I)",181331,15,0.392542321513617,0.074748963336166,0.146949666558599
"LI.M115","LI.M115","cytokines - recepters cluster",127033,11,0.374949822904368,0.0754413755676116,0.147472971448551
"LI.M98.1","LI.M98.1","TBA",123095,6,0.665990369528756,0.0795223060918174,0.154577066897578
"LI.M110","LI.M110","axon guidance",193230,10,0.627349761371384,0.0815411079888023,0.157615772983942
"LI.M41.4","LI.M41.4","ATF targets network",175712,9,0.633840515406647,0.0821632192955696,0.157935965979262
"LI.M58","LI.M58","B cell development/activation",210155,11,0.620292207792208,0.0835217590192519,0.15902797535147
"LI.M116","LI.M116","TBA",244464,13,0.610589099192255,0.0836505535085768,0.15902797535147
"LI.M140","LI.M140","extracellular matrix, complement",169778,14,0.393772120661103,0.0843302775551673,0.159444131333813
"LI.M233","LI.M233","TBA",243935,13,0.609267834574673,0.086216271545543,0.162124075841075
"LI.M33","LI.M33","inflammatory response",192228,10,0.624096620239603,0.0870495456763449,0.162806177319002
"LI.M68","LI.M68","RIG-1 like receptor signaling",116609,10,0.37858835752086,0.0918015306263941,0.170083289948298
"LI.S2","LI.S2","B cell surface signature",2648331,163,0.530130169924718,0.0919236278044268,0.170083289948298
"LI.M15","LI.M15","Ran mediated mitosis",157703,13,0.393889213585298,0.0925844850475977,0.170394850140791
"LI.M165","LI.M165","enriched in activated dendritic cells (II)",469720,35,0.436072635448773,0.095208582727176,0.173812127990888
"LI.M207","LI.M207","TBA",117222,10,0.380578552644395,0.0954459662377708,0.173812127990888
"LI.M128","LI.M128","TBA",207828,11,0.613423848878394,0.0963095610915264,0.174466534752189
"LI.M109","LI.M109","receptors, cell migration",186425,15,0.40356972767026,0.0979368253327966,0.176490320651811
"LI.M189","LI.M189","extracellular region cluster (GO)",200715,16,0.407361178762786,0.099698234546065,0.178621155485899
"LI.M41.1","LI.M41.1","TBA",241250,13,0.602561604899419,0.100151746139492,0.178621155485899
"LI.M130","LI.M130","enriched in G-protein coupled receptors",118110,10,0.38346157592286,0.100912590721338,0.178717061379915
"LI.M17.1","LI.M17.1","Hox cluster II",206992,11,0.610956316410862,0.101238566562033,0.178717061379915
"LI.M182","LI.M182","enriched in DNA interacting proteins",145737,12,0.394322867625572,0.102427224007763,0.179718671774346
"LI.M13","LI.M13","innate activation by cytosolic DNA sensing",132074,11,0.38982880755608,0.102844789050059,0.179718671774346
"LI.M83","LI.M83","enriched in naive and memory B cells",188728,10,0.61273335281322,0.108472247775401,0.188599988594416
"LI.M70.0","LI.M70.0","TBA",373445,21,0.577560741737422,0.109201325888825,0.188918293787667
"LI.M144","LI.M144","cell cycle, ATP binding",289055,16,0.586651647994804,0.115004606788975,0.197968129099429
"LI.S3","LI.S3","Plasma cell surface signature",303976,23,0.429269449983336,0.120078453302389,0.205678934864488
"LI.M59","LI.M59","CCR1, 7 and cell signaling",186340,10,0.604980357780592,0.125117427443791,0.213213443309999
"LI.M190","LI.M190","TBA",203228,11,0.599846517119244,0.125709660217456,0.213213443309999
"LI.M89.1","LI.M89.1","putative targets of PAX3",186159,10,0.604392714522256,0.126448111333783,0.213419739129214
"LI.M193","LI.M193","TBA",122054,10,0.396266354988474,0.127952229343527,0.214018127983672
"LI.M12","LI.M12","CD28 costimulation",122073,10,0.39632804129736,0.128093642402506,0.214018127983672
"LI.M62.0","LI.M62.0","T & B cell development, activation",662935,39,0.552396117682742,0.12865829659134,0.214018127983672
"LI.M43.1","LI.M43.1","myeloid, dendritic cell activation via NFkB (II)",252731,14,0.586167947712903,0.132087543904776,0.218448128778604
"LI.M230","LI.M230","cell cycle, mitotic phase",136535,11,0.402995867768595,0.132584124403199,0.218448128778604
"LI.M80","LI.M80","TBA",351676,20,0.571069468351142,0.135531988818625,0.222246768394522
"LI.M120","LI.M120","TBA",201698,11,0.595330578512397,0.1367507156756,0.223187488791309
"LI.M54","LI.M54","BCR signaling",218381,12,0.59087686829659,0.137795767450451,0.223837256046272
"LI.M37.2","LI.M37.2","endoplasmic reticulum",334343,19,0.571479605092232,0.140303867771082,0.226846440414926
"LI.M124","LI.M124","enriched in membrane proteins",236610,18,0.426882733088689,0.141354126613597,0.227481524689788
"LI.M26.1","LI.M26.1","TBA",366736,21,0.567184769328322,0.143181975178509,0.228969655532835
"LI.M41.0","LI.M41.0","TBA",267624,15,0.579347967268476,0.14360235621568,0.228969655532835
"LI.M24","LI.M24","cell activation (IL15, IL23, TNF)",267198,15,0.578425769580465,0.146421713824665,0.231573918807706
"LI.M134","LI.M134","Membrane, ER proteins",300291,17,0.573623967999878,0.14657424340719,0.231573918807706
"LI.M152.0","LI.M152.0","TBA (source: B cells)",365288,21,0.564945328569882,0.151365454140093,0.238056577874873
"LI.M95.1","LI.M95.1","enriched in antigen presentation (III)",210106,16,0.426420685176165,0.154042256790444,0.24093206029513
"LI.M240","LI.M240","chromosome Y linked",167623,13,0.418666047245825,0.154906537633887,0.24093206029513
"LI.M112.0","LI.M112.0","complement activation (I)",224571,17,0.428981581591525,0.155282801866514,0.24093206029513
"LI.M4.7","LI.M4.7","mitotic cell cycle",267902,20,0.435032964177844,0.157181478697292,0.242737069612425
"LI.S1","LI.S1","NK cell surface signature",617768,44,0.45633899366795,0.158048142222139,0.242737069612425
"LI.M107","LI.M107","Hox cluster VI",182140,10,0.591344436868933,0.158550802694821,0.242737069612425
"LI.M102","LI.M102","TBA",215399,12,0.582808424515947,0.16023921196672,0.24321794727296
"LI.M185","LI.M185","TBA",232037,13,0.579550620170141,0.160270786064263,0.24321794727296
"LI.M177.1","LI.M177.1","TBA",168847,13,0.421723188818455,0.16417585095683,0.248056089218617
"LI.M125","LI.M125","TBA",181141,10,0.58810103568066,0.167295340622471,0.250794394490849
"LI.M17.3","LI.M17.3","Hox cluster IV",181125,10,0.588049089315282,0.167437876090711,0.250794394490849
"LI.M239","LI.M239","enriched in calcium signaling proteins",214355,12,0.579983657478057,0.168632020296678,0.251494306132114
"LI.M70.1","LI.M70.1","TBA",180729,10,0.586763416772183,0.170990546535522,0.253513023156155
"LI.M11.2","LI.M11.2","formyl peptide receptor mediated neutrophil response",163883,9,0.591170126037992,0.171744177992271,0.253513023156155
"LI.M187","LI.M187","metabolism in mitochondria, peroxisome",163837,9,0.591004191647007,0.172183700698544,0.253513023156155
"LI.M87","LI.M87","transmembrane transport (I)",328667,24,0.444813016316411,0.174594721008611,0.25597361639398
"LI.M91","LI.M91","adhesion and migration, chemotaxis",156206,12,0.422649003755533,0.176703813129027,0.257972655454191
"LI.M26.2","LI.M26.2","TBA",245039,14,0.568327620037202,0.187971396130328,0.273269340592829
"LI.M220","LI.M220","TBA",178016,10,0.577955261192818,0.196611544133272,0.28290922332054
"LI.M191","LI.M191","transmembrane transport (II)",244967,18,0.441960113590029,0.196903875223039,0.28290922332054
"LI.M195","LI.M195","muscle contraction, SRF targets",194456,11,0.573955135773318,0.197802289570219,0.28290922332054
"LI.M166","LI.M166","TBA",292791,17,0.559297265701111,0.198588622541888,0.28290922332054
"LI.M114.1","LI.M114.1","glycerophospholipid metabolism",194351,11,0.573645218417946,0.198793831049311,0.28290922332054
"LI.M114.0","LI.M114.0","TBA",508982,36,0.459411499232783,0.199586231546818,0.28290922332054
"LI.M248","LI.M248","TBA",160960,9,0.580626077671724,0.201089478863611,0.28290922332054
"LI.M201","LI.M201","TBA",245540,18,0.442993898324655,0.201143551840615,0.28290922332054
"LI.M57","LI.M57","immuregulation - monocytes, T and B cells",226699,13,0.566218086089506,0.204158175125167,0.285817657030199
"LI.M38","LI.M38","chemokines and receptors",145085,11,0.42823199527745,0.204863522958061,0.285817657030199
"LI.M62.1","LI.M62.1","enriched for unknown TF motif CTCNANGTGNY",177004,10,0.574669653582676,0.206735335877479,0.287270788006457
"LI.M146","LI.M146","MHC-TLR7-TLR8 cluster",232769,17,0.444641622317564,0.214638004927238,0.297058998819298
